epoch,total_loss,recon_loss,kl_loss,latent_std
1,0.6864311952216953,0.5937524215847838,0.0926787712446907,0.9999662602649015
2,0.5284611185391744,0.5283462954502479,0.00011482447677967594,0.9956883192062378
3,0.5250890512092441,0.5250739501971825,1.5100738143219668e-05,0.9938169110055063
4,0.5239245482519561,0.5239184592284408,6.087599139587552e-06,0.9873247158293631
5,0.5237944032631668,0.5237938434469933,5.569308996200562e-07,0.981346424888162
6,0.5231848265610489,0.523183943009844,8.841538253952475e-07,0.9938275872492323
7,0.5231898321824915,0.5231895680521049,2.6168338223999623e-07,0.9832407329596725
8,0.5231095260264826,0.5231092280032588,2.9186919039370965e-07,0.9816883884224237
9,0.5225818706493751,0.5225815527579364,3.154261731633953e-07,0.986458302712908
10,0.5225787980883729,0.5225785105836158,2.8821694500306076e-07,0.9891462407860101
11,0.5224033699316137,0.5224030508714563,3.174349081282522e-07,0.988866760450251
12,0.5224927324874729,0.522492432126812,2.98461493323831e-07,0.992716650168101
13,0.5222750504811605,0.5222747945318035,2.55620654891519e-07,0.9929407484391156
14,0.5218852559725443,0.521885025734995,2.3001841470306994e-07,0.9897289252748677
15,0.5218129707317726,0.5218127358193491,2.3253846402261772e-07,0.9902906020482382
16,0.5217139662480822,0.5217137441915625,2.2136259312723197e-07,0.9862552402066249
17,0.5218857106040505,0.5218853272643744,3.8264574957828897e-07,0.992297582766589
18,0.5216539782636306,0.5216504849639594,3.4941579489146963e-06,0.9832462867101034
19,0.5214819253659716,0.5214797936233819,2.1352487451889934e-06,0.9911846062716316
20,0.521453318642635,0.5214530977548337,2.166694578002481e-07,0.9933571441500795
21,0.5213168286809734,0.5213165902623943,2.375968238886665e-07,0.9835712804513819
22,0.5212117094619602,0.5212115189608406,1.8186355922736374e-07,0.9850846856248145
23,0.5212654401274288,0.5212652659883686,1.7760869334725774e-07,0.990401777566648
24,0.5212806603487801,0.5212804768599716,1.8011048143985226e-07,0.9824919864243152
25,0.5211533343090731,0.5211531566638573,1.7742608107772527e-07,0.9852764314296198
